"island","presence","sex","svl","Jaw.length","Width","Height","Outlever","Open.inlever","Close.inlever","Head.length"
"lizard",1,"m",60.14,17.675,8.888,5.92,15.393,1.862,3.59,12.535
"lizard",1,"f",46.99,12.01,6.559,4.77,10.474,1.259,2.102,8.845
"lizard",1,"f",46.96,11.663,6.752,4.43,10.331,0.999,2.303,8.529
"lizard",1,"m",57.75,16.847,8.779,5.86,14.613,1.808,3.389,11.941
"lizard",1,"m",59.08,17.1,8.613,5.37,14.867,1.833,3.298,12.337
"lizard",1,"m",57.63,16.949,8.492,5.72,14.968,1.579,3.528,12.394
"lizard",1,"f",50.17,13.168,7.177,4.69,11.325,1.508,2.265,9.86
"lizard",1,"m",58.46,16.301,8.545,5.58,14.261,1.628,3.601,11.341
"lizard",1,"f",49.65,13.279,7.069,4.86,11.541,1.393,2.765,9.634
"lizard",1,"m",55.45,15.69,8.143,5.53,13.578,1.711,3.016,11.133
"lizard",1,"m",56.76,15.765,8.484,5.31,13.728,1.626,3.334,11.633
"lizard",1,"m",60.27,17.492,9.588,6.18,15.212,1.804,3.687,12.789
"yin",1,"m",59.9,17.423,9.436,5.94,15.069,1.91,3.666,11.733
"yin",1,"m",56.18,16.696,8.893,6.01,14.239,2.042,3.43,12.105
"yin",1,"f",52.06,13.468,7.561,5.1,11.652,1.432,2.72,9.837
"yin",1,"m",55.01,15.617,8.621,5.7,13.52,1.688,3.112,10.903
"yin",1,"f",48.14,12.34,6.655,4.61,10.705,1.296,2.319,8.437
"yin",1,"f",48.38,12.275,7.183,4.64,10.64,1.204,2.459,8.594
"yin",1,"f",50.01,12.793,7.359,4.77,10.833,1.55,2.411,9.079
"channel",1,"f",48.54,12.358,7.283,4.67,10.645,1.26,2.531,8.779
"channel",1,"m",52.23,14.202,7.713,4.98,12.342,1.428,2.905,10.2
"channel",1,"m",57.53,16.066,8.762,5.73,14.093,1.527,3.38,11.814
"channel",1,"m",56.12,15.755,8.658,5.72,13.718,1.585,3.322,11.84
"channel",1,"f",45.64,12.864,6.939,4.57,11.139,1.361,2.417,9.734
"channel",1,"m",55.66,16.293,8.654,5.8,13.977,1.877,3.446,11.226
"channel",1,"m",49.56,13.892,7.744,4.93,11.997,1.462,2.975,10.108
"s.twin",0,"f",53.46,13.647,7.362,5.09,11.905,1.336,2.776,9.647
"s.twin",0,"m",53.47,15.419,8.095,5.32,13.48,1.575,3.238,11.336
"s.twin",0,"m",59.76,17.299,8.829,5.86,15.238,1.662,3.701,12.452
"s.twin",0,"m",58.96,17.074,9.295,5.9,14.715,1.904,3.818,11.71
"s.twin",0,"m",57.78,17.082,8.757,5.92,14.935,1.74,3.609,11.76
"channel",1,"f",44.13,11.696,6.405,4.16,10.134,1.23,2.198,9.078
"channel",1,"f",45.63,12.233,6.568,4.48,10.72,1.166,2.118,8.861
"channel",1,"m",51.72,14.286,7.693,5.15,12.547,1.372,2.997,10.287
"n.twin",1,"m",58.65,16.735,8.76,5.82,14.666,1.663,3.716,11.711
"n.twin",1,"m",58.37,16.233,8.756,5.86,14.124,1.663,3.354,11.528
"n.twin",1,"f",50.75,13.392,7.376,4.85,11.702,1.296,2.768,9.898
"n.twin",1,"f",50.91,12.9,7.342,4.85,10.849,1.55,2.512,8.798
"n.twin",1,"m",52.17,14.231,7.573,4.7,12.438,1.423,3.027,10.321
"n.twin",1,"m",55.55,16.49,8.75,5.68,14.216,1.84,3.312,11.34
"n.twin",1,"m",57.73,17.347,8.779,5.98,15.075,1.916,3.579,12.497
"n.twin",1,"m",55.61,16.661,8.522,5.72,14.654,1.628,3.337,12.055
"osprey",0,"m",55.8,17.306,8.795,5.42,15.049,1.837,3.644,12.463
"osprey",0,"m",54.31,15.649,8.162,5.33,13.767,1.494,3.361,11.011
"osprey",0,"f",44.99,11.854,6.296,4.06,10.547,1.025,2.033,8.729
"osprey",0,"m",55.27,16.707,8.518,5.42,14.701,1.625,3.496,11.399
"osprey",0,"m",54.81,15.491,7.849,5.36,13.686,1.516,3.206,10.952
"yang",1,"m",56.09,15.831,8.271,5.6,13.694,1.736,3.099,11.071
"yang",1,"f",50.46,13.25,7.348,4.84,11.652,1.252,2.624,10.077
"yang",1,"m",57.28,17.067,8.645,5.81,15.006,1.692,3.297,12.709
"yang",1,"m",53.27,14.48,7.837,4.9,12.687,1.388,2.629,10.328
"yang",1,"m",57.26,16.052,8.19,5.69,13.855,1.857,3.237,11.712
"yang",1,"m",53.68,16.057,8.165,5.2,14.245,1.491,3.337,10.96
"crescent",0,"m",61.07,18.133,9.357,6.27,15.798,1.832,3.85,13.481
"crescent",0,"m",56.69,17.249,8.953,5.65,14.952,1.859,3.382,12.856
"crescent",0,"m",57.43,17.657,8.856,5.66,15.331,1.952,3.237,12.665
"crescent",0,"m",57.8,17.078,9.026,5.53,14.703,1.893,3.299,12.423
"crescent",0,"m",58.65,16.653,9.248,6.21,14.324,1.806,3.133,11.774
"crescent",0,"m",55.02,15.875,8.469,5.28,13.769,1.68,3.274,11.354
"channel",1,"m",57.2,16.792,9.055,5.52,14.452,1.88,3.367,11.844
"channel",1,"m",51.14,14.005,7.524,4.7,12.305,1.367,2.584,10.577
"channel",1,"m",59.82,18.23,8.963,6.07,15.968,1.909,3.431,13.153
"channel",1,"m",51.94,14.484,7.846,5.12,12.42,1.639,2.821,10.267
"yin",1,"f",52.14,13.804,7.564,5.08,11.759,1.652,2.504,9.787
"yin",1,"m",59.82,16.759,9.157,5.87,14.692,1.58,3.48,11.851
"lizard",1,"m",58.5,16.955,8.282,5.52,14.888,1.69,3.663,11.475
"lizard",1,"f",46.44,12.066,6.413,4.49,10.528,1.227,2.22,9.116
"lizard",1,"m",53.46,14.933,7.802,5.24,12.962,1.596,2.99,10.692
"lizard",1,"m",59.1,17.607,9.118,5.91,15.326,1.866,3.438,12.283
"lizard",1,"m",58.05,17.088,9.347,5.87,14.966,1.669,3.573,12.766
"lizard",1,"f",43.41,12.116,6.476,4.48,10.522,1.286,2.238,8.761
"hook",1,"m",61.59,17.637,9.337,6.13,15.145,1.942,3.511,12.606
"hook",1,"m",53.84,15.681,8.363,5.72,13.612,1.63,3.16,11.209
"hook",1,"f",47.53,12.375,7.057,4.98,10.585,1.331,2.294,9.249
"hook",1,"m",58.97,17.735,9.532,6.09,15.309,1.862,3.429,13.445
"yang",1,"m",57.38,16.468,8.76,5.85,14.308,1.781,3.418,12.417
"yang",1,"m",59.72,16.714,8.763,5.89,14.512,1.829,3.274,12.257
"yang",1,"m",56.05,16.067,8.404,5.64,14.074,1.631,3.198,11.544
"yang",1,"m",59.7,16.85,9.071,6.03,14.549,1.862,3.1,11.737
"yang",1,"f",48.96,12.362,6.851,4.52,10.793,1.212,2.458,8.865
"pine",0,"f",44.91,11.948,6.568,4.33,10.14,1.433,2.067,8.647
"pine",0,"f",44.68,11.391,6.645,4.01,9.899,1.154,1.948,8.373
"pine",0,"f",47.6,12.598,7.287,4.49,10.858,1.354,2.393,8.613
"pine",0,"m",53.74,16.004,7.999,5.55,13.958,1.664,3.334,12.007
"pine",0,"f",47.14,11.504,6.287,4.57,10.188,1,2.428,8.475
"pine",0,"m",49.7,14.092,7.413,4.97,12.149,1.549,2.6,9.815
"pine",0,"m",51.92,13.898,7.528,4.96,12.057,1.433,2.907,10.2
"channel",1,"m",51.94,15.11,7.565,5.05,13.345,1.468,2.89,10.792
"channel",1,"f",49.34,12.054,6.859,4.67,10.509,1.165,2.508,8.961
"channel",1,"m",56.73,16.907,9.078,5.86,14.734,1.709,3.398,12.363
"channel",1,"m",49.01,14.171,7.43,4.81,12.192,1.57,2.526,10.379
"channel",1,"f",47.34,12.709,7.122,4.59,10.951,1.383,2.312,8.853
"channel",1,"m",60.79,18.037,9.327,6.47,15.767,1.778,3.509,12.594
"channel",1,"f",43.09,11.518,6.344,4.17,9.946,1.205,2.162,8.377
"osprey",0,"m",52.73,15.487,8.228,5.17,13.732,1.438,2.866,11.116
"osprey",0,"m",59.36,17.701,9.331,5.89,15.425,1.808,3.252,13.1
"osprey",0,"m",56.36,16.707,8.878,5.63,14.576,1.743,3.449,12.06
"osprey",0,"m",51.95,15.379,7.999,5.2,13.474,1.571,3.19,11.046
"hook",1,"m",53.46,14.969,8.406,5.43,12.867,1.677,3.013,10.158
"hook",1,"m",60.28,17.885,9.492,6.62,15.574,1.831,3.779,12.413
"hook",1,"m",56.2,16.14,8.746,5.94,14.042,1.733,3.368,11.441
"pine",0,"m",53.37,14.445,7.566,5.03,12.692,1.442,2.785,10.362
"channel",1,"m",59.18,17.731,9.213,6.16,15.327,1.963,3.226,12.693
"channel",1,"m",50.22,14.435,7.696,5.15,12.411,1.64,2.791,10.289
"channel",1,"f",44.35,11.716,6.329,4.48,10.278,1.119,2.367,8.5
"channel",1,"m",59.44,17.459,9.379,6.25,15.163,1.824,3.5,12.243
"channel",1,"m",56,16.701,8.412,5.73,14.476,1.836,3.117,11.112
"channel",1,"m",56.24,16.308,8.942,5.98,14.18,1.724,3.225,11.743
"channel",1,"m",54.9,16.122,8.194,5.19,14.07,1.66,3.195,11.14
"channel",1,"m",57.32,16.841,8.532,5.64,14.617,1.759,3.346,11.702
"channel",1,"m",60.83,17.832,9.279,6.13,15.528,1.836,3.62,12.926
"yin",1,"m",60.52,17.072,9.672,5.96,14.56,2.033,3.445,12.39
"yin",1,"m",57.56,17.281,8.753,5.76,14.935,1.948,3.514,11.799
"pine",0,"f",48.27,13.056,7.078,4.53,11.221,1.435,2.483,9.064
"pine",0,"m",52.83,15.629,7.713,5.1,13.621,1.693,3.385,11.134
"pine",0,"m",55.3,16.251,8.317,5.66,14.053,1.767,3.439,11.456
"pine",0,"f",45.5,11.484,6.459,4.24,9.868,1.246,2.168,7.982
"pine",0,"f",47.05,12.858,7.146,4.32,11.052,1.342,2.555,9.159
"pine",0,"f",47.02,11.963,6.733,4.55,10.208,1.346,2.318,8.406
"pine",0,"m",56.16,16.904,8.285,5.66,14.765,1.757,3.236,11.808
"yin",1,"m",55.17,16.42,8.821,6.04,14.436,1.544,3.552,11.122
"yin",1,"f",50.23,12.838,7.339,5.34,11.093,1.391,2.679,9.236
"yin",1,"m",54.62,16.648,8.784,5.77,14.405,1.817,3.505,12.072
