"island","presence","sex","svl","Mass"
"crescent",0,"m",52.26,2.8
"crescent",0,"m",57.48,3.6
"crescent",0,"f",49.25,2.8
"crescent",0,"m",57.6,3.2
"crescent",0,"f",47.96,2.1
"crescent",0,"m",58.23,3.4
"crescent",0,"m",58.11,3.9
"n.twin",1,"m",55.9,3.2
"n.twin",1,"f",44.04,1.7
"n.twin",1,"m",55.65,3.2
"n.twin",1,"m",58.99,3.1
"n.twin",1,"m",58.84,3.4
"s.twin",0,"f",49.21,2.1
"s.twin",0,"m",59.63,3.4
"s.twin",0,"m",54.16,2.8
"s.twin",0,"m",56.5,2.8
"s.twin",0,"f",46.67,1.7
"s.twin",0,"f",48.25,2
"s.twin",0,"m",55.68,2.9
"s.twin",0,"f",49.46,2.5
"hornet",0,"m",50.44,2.3
"hornet",0,"m",55.88,2.7
"hornet",0,"m",58.12,3.6
"hornet",0,"m",56.83,3.2
"hornet",0,"m",50.98,2.2
"hornet",0,"m",55.02,2.5
"hornet",0,"m",59.07,3.4
"hornet",0,"m",58.1,3.4
"hornet",0,"m",58.74,3.6
"hook",1,"f",48.12,2.1
"hook",1,"m",51.88,2.4
"hook",1,"m",58.81,3.7
"hook",1,"m",49.53,2.1
"hook",1,"f",47.05,1.8
"hook",1,"m",54.41,2.6
"hook",1,"m",55.39,3
"hook",1,"m",51.92,2.5
"hook",1,"m",51.44,2.1
"hook",1,"f",47.59,2
"hook",1,"m",52.59,2.7
"hook",1,"m",52.96,2.6
"hook",1,"m",56.37,3.4
"hook",1,"m",54.26,2.9
"lizard",1,"m",58.04,3.4
"lizard",1,"f",43.99,1.7
"lizard",1,"m",60.14,3.6
"lizard",1,"f",46.99,1.8
"lizard",1,"f",46.96,1.9
"lizard",1,"m",57.75,3.2
"lizard",1,"m",59.08,3.4
"lizard",1,"m",57.63,3.1
"lizard",1,"f",50.17,2.1
"lizard",1,"m",58.46,3.4
"lizard",1,"f",49.65,2.1
"lizard",1,"m",55.45,2.1
"lizard",1,"m",56.76,2.8
"lizard",1,"m",60.27,4.2
"yin",1,"m",59.9,3.8
"yin",1,"m",56.18,3.2
"yin",1,"f",52.06,2.7
"yin",1,"m",55.01,3.4
"yin",1,"f",48.14,2.1
"yin",1,"f",48.38,2.5
"yin",1,"f",50.01,2.6
"channel",1,"f",48.54,2
"channel",1,"m",52.23,2.4
"channel",1,"m",57.53,3.3
"channel",1,"m",56.12,2.9
"channel",1,"f",45.64,1.6
"channel",1,"m",55.66,2.9
"channel",1,"m",49.56,2
"s.twin",0,"f",53.46,3
"s.twin",0,"m",53.47,2.7
"s.twin",0,"m",59.76,3.4
"s.twin",0,"m",58.96,3.6
"s.twin",0,"m",57.78,3.7
"channel",1,"f",44.13,1.3
"channel",1,"f",45.63,1.5
"channel",1,"m",51.72,2.3
"n.twin",1,"m",58.65,3.9
"n.twin",1,"m",58.37,3.7
"n.twin",1,"f",50.75,2.6
"n.twin",1,"f",50.91,2.7
"n.twin",1,"m",52.17,2
"n.twin",1,"m",55.55,3.2
"n.twin",1,"m",57.73,3
"n.twin",1,"m",55.61,3.2
"osprey",0,"m",55.8,2.8
"osprey",0,"m",54.31,2.5
"osprey",0,"f",44.99,1.7
"osprey",0,"m",55.27,2.8
"osprey",0,"m",54.81,2.7
"yang",1,"m",56.09,2.8
"yang",1,"f",50.46,2.2
"yang",1,"m",57.28,2.6
"yang",1,"m",53.27,2.3
"yang",1,"m",57.26,2.8
"yang",1,"m",53.68,2.3
"crescent",0,"m",61.07,4
"crescent",0,"m",56.69,2.5
"crescent",0,"m",57.43,2.8
"crescent",0,"m",57.8,3.2
"crescent",0,"m",58.65,3.9
"crescent",0,"m",55.02,2.7
"channel",1,"m",57.2,3.7
"channel",1,"m",51.14,2.4
"channel",1,"m",59.82,4.3
"channel",1,"m",51.94,2.7
"yin",1,"f",52.14,2.3
"yin",1,"m",59.82,3.9
"lizard",1,"m",58.5,3.1
"lizard",1,"f",46.44,1.5
"lizard",1,"m",53.46,2.5
"lizard",1,"m",59.1,3.5
"lizard",1,"m",58.05,3.7
"lizard",1,"f",43.41,1.4
"hook",1,"m",61.59,4.1
"hook",1,"m",53.84,2.7
"hook",1,"f",47.53,2
"hook",1,"m",58.97,3.8
"yang",1,"m",57.38,3.3
"yang",1,"m",59.72,4
"yang",1,"m",56.05,2.9
"yang",1,"m",59.7,3.5
"yang",1,"f",48.96,1.9
"pine",0,"f",44.91,1.6
"pine",0,"f",44.68,1.6
"pine",0,"f",47.6,2
"pine",0,"m",53.74,2.8
"pine",0,"f",47.14,2.1
"pine",0,"m",49.7,2
"pine",0,"m",51.92,2.1
"channel",1,"m",51.94,2.6
"channel",1,"f",49.34,2.4
"channel",1,"m",56.73,3.4
"channel",1,"m",49.01,1.9
"channel",1,"f",47.34,2.3
"channel",1,"m",60.79,4.4
"channel",1,"f",43.09,1.4
"osprey",0,"m",52.73,2.6
"osprey",0,"m",59.36,3.2
"osprey",0,"m",56.36,3.2
"osprey",0,"m",51.95,2.5
"hook",1,"m",53.46,2.7
"hook",1,"m",60.28,4.1
"hook",1,"m",56.2,3.5
"pine",0,"m",53.37,2.2
"channel",1,"m",59.18,3.3
"channel",1,"m",50.22,2.1
"channel",1,"f",44.35,1.7
"channel",1,"m",59.44,3.8
"channel",1,"m",56,3
"channel",1,"m",56.24,3.2
"channel",1,"m",54.9,2.7
"channel",1,"m",57.32,2.8
"channel",1,"m",60.83,4.2
"yin",1,"m",60.52,4.1
"yin",1,"m",57.56,3.3
"pine",0,"f",48.27,2.1
"pine",0,"m",52.83,2.2
"pine",0,"m",55.3,2.9
"pine",0,"f",45.5,1.9
"pine",0,"f",47.05,2.2
"pine",0,"f",47.02,2.1
"pine",0,"m",56.16,3.2
"yin",1,"m",55.17,3.5
"yin",1,"f",50.23,2.7
"yin",1,"m",54.62,3.5
"yin",1,"m",59.01,3.8
"yin",1,"f",47.69,2.7
"yin",1,"f",49.54,2.6
"yin",1,"m",53.9,3.2
"hornet",0,"f",48.93,2.1
"hornet",0,"m",56.51,3.3
"hornet",0,"m",60.54,4.4
"hornet",0,"f",50.61,2.5
"hornet",0,"m",55.11,3.5
"yin",1,"f",49.24,2.4
"hook",1,"m",60.09,4.3
"hook",1,"m",59.12,3.6
"hook",1,"m",57.78,3.3
"hook",1,"f",48.99,2.1
"hook",1,"m",55.19,3.2
"hook",1,"f",45.38,1.7
"yang",1,"f",49.86,2.4
"yang",1,"m",57.59,3.5
"yang",1,"m",57.28,3.3
"yang",1,"m",59.65,3.3
"n.twin",1,"m",58.13,3.9
"n.twin",1,"m",60.17,3.7
"n.twin",1,"m",58.04,3.2
"n.twin",1,"m",59.82,3.5
"n.twin",1,"m",61.68,4
"s.twin",0,"m",57.43,3.2
"s.twin",0,"m",57.03,3.6
"s.twin",0,"f",44.51,1.7
"s.twin",0,"f",46.24,1.8
"s.twin",0,"m",55.93,2.8
"lizard",1,"m",61.05,4.3
"lizard",1,"m",58.12,3.6
"lizard",1,"m",59.39,3.6
"lizard",1,"m",56.37,3.2
"lizard",1,"m",57.96,3.4
"lizard",1,"f",46.47,1.7
"lizard",1,"m",59.84,3.8
"lizard",1,"f",48.34,2.3
"osprey",0,"f",45.64,1.9
"osprey",0,"m",54.78,2.9
"osprey",0,"f",44.8,1.7
"osprey",0,"m",50.45,2.1
"osprey",0,"m",54.45,2.8
"osprey",0,"m",53.02,2.8
"yang",1,"m",56.61,2.9
"yang",1,"m",50.27,2.1
"yang",1,"m",55.95,3
"yang",1,"f",46.58,1.9
"yang",1,"m",52.81,2.8
"crescent",0,"f",50.32,2.3
"crescent",0,"m",61.24,4.4
"crescent",0,"m",58.84,3.9
"crescent",0,"m",60.39,4.3
"crescent",0,"m",58.42,3.5
"n.twin",1,"f",49.5,2.3
"n.twin",1,"m",62.58,4.7
"n.twin",1,"m",58.86,4.1
"n.twin",1,"f",47.96,2.2
"n.twin",1,"f",49.39,1.8
"n.twin",1,"m",55.78,2.7
"yin",1,"f",46.75,2.2
"yin",1,"m",59.98,3.6
"yin",1,"m",54.43,2.5
"hook",1,"m",53.83,2.7
"hook",1,"m",52.77,2.6
"hook",1,"f",46.1,1.7
"hook",1,"f",47.4,1.8
"yin",1,"f",51.98,2.7
"s.twin",0,"f",48.58,2.1
"s.twin",0,"m",55.09,2.8
"s.twin",0,"m",57.37,3.3
"yang",1,"f",49.29,2.5
"yang",1,"f",46.62,2
"yang",1,"m",58.03,3.4
"yang",1,"f",45.93,1.8
"yang",1,"m",55.15,3.3
"yang",1,"f",49.86,2.1
"yang",1,"m",56.78,3.5
"yang",1,"m",55.03,3
"yang",1,"m",53.27,2.7
"yang",1,"f",57.18,1.9
"yang",1,"f",48.54,2.1
"osprey",0,"m",55.77,3
"osprey",0,"f",46.7,2.1
"osprey",0,"f",46.3,1.8
"osprey",0,"f",45.97,1.6
"osprey",0,"m",58.73,3
"crescent",0,"m",59.48,4.4
"crescent",0,"m",57.03,4
"crescent",0,"m",57.83,4.1
"crescent",0,"m",58.47,3.9
"crescent",0,"f",48.7,2.5
"crescent",0,"m",58.71,4.3
"crescent",0,"m",59.44,3.9
"crescent",0,"m",57.47,3.6
"crescent",0,"m",56.76,3.3
"n.twin",1,"f",50.54,2.6
"n.twin",1,"m",58.45,3.7
"n.twin",1,"m",59.2,3.6
"n.twin",1,"m",59.07,4.1
"n.twin",1,"m",59.78,4.3
"n.twin",1,"m",52.25,2.4
"n.twin",1,"f",48,2.3
"n.twin",1,"m",58.66,3.9
"n.twin",1,"f",43.75,1.4
"s.twin",0,"m",57.66,3.5
"s.twin",0,"m",59.25,3.6
"s.twin",0,"f",46.74,1.9
"s.twin",0,"m",56.01,2.9
"s.twin",0,"f",46.43,1.9
"s.twin",0,"f",47.02,1.7
"s.twin",0,"f",46.16,1.9
"s.twin",0,"m",54.88,2.7
"s.twin",0,"f",46.5,1.7
"s.twin",0,"m",54.87,2.9
"s.twin",0,"f",44.4,1.7
"s.twin",0,"f",49.19,2.1
"hornet",0,"f",49.09,1.9
"hornet",0,"m",54.17,2.7
"hornet",0,"m",62.29,4.4
"hornet",0,"m",59.91,3.6
"hornet",0,"m",57.37,3.8
"hornet",0,"m",57.44,3.5
"hornet",0,"f",44.29,1.7
